Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,0.455556,0.455556,0.431897,0.433533,0.433533,734277167
2022-07-12,0.433593,0.439781,0.416041,0.416665,0.416665,705776838
2022-07-13,0.416619,0.438223,0.405766,0.436597,0.436597,973906928
2022-07-14,0.436546,0.443241,0.419702,0.439853,0.439853,859184290
2022-07-15,0.439942,0.447729,0.430588,0.438916,0.438916,733624900
2022-07-16,0.438906,0.454263,0.428999,0.453573,0.453573,647785297
2022-07-17,0.453659,0.461340,0.440240,0.443011,0.443011,689183893
2022-07-18,0.443073,0.489408,0.442324,0.485421,0.485421,1492708436
2022-07-19,0.484963,0.512775,0.468349,0.504146,0.504146,1523458831
2022-07-20,0.504179,0.532813,0.480730,0.482312,0.482312,1531754058
2022-07-21,0.482340,0.490328,0.468846,0.489329,0.489329,909193275
2022-07-22,0.489322,0.503202,0.468964,0.473899,0.473899,766889266
2022-07-23,0.473685,0.506738,0.465599,0.506578,0.506578,819728347
2022-07-24,0.506570,0.522935,0.499982,0.503764,0.503764,892784832
2022-07-25,0.503714,0.504947,0.465811,0.465825,0.465825,730777257
2022-07-26,0.465871,0.466094,0.446926,0.461673,0.461673,743707230
2022-07-27,0.461778,0.500280,0.453240,0.500280,0.500280,1086076245
2022-07-28,0.500306,0.512805,0.484825,0.503652,0.503652,1378390784
2022-07-29,0.503554,0.531298,0.498725,0.511754,0.511754,1565739576
2022-07-30,0.511641,0.539021,0.500651,0.513946,0.513946,1220272632
2022-07-31,0.513963,0.530531,0.504057,0.506360,0.506360,857113893
2022-08-01,0.506391,0.513774,0.490018,0.501021,0.501021,631378974
2022-08-02,0.500811,0.501374,0.478786,0.489228,0.489228,699079874
2022-08-03,0.489260,0.507039,0.482523,0.493270,0.493270,544951939
2022-08-04,0.493258,0.502153,0.483453,0.487603,0.487603,487686602
2022-08-05,0.487519,0.506661,0.487783,0.507987,0.507987,526960329
2022-08-06,0.508047,0.511879,0.501805,0.501854,0.501854,364064199
2022-08-07,0.501968,0.527378,0.498332,0.518543,0.518543,487324187
2022-08-08,0.518561,0.538052,0.514602,0.526178,0.526178,767596355
2022-08-09,0.526237,0.526543,0.495924,0.503565,0.503565,623692960
2022-08-10,0.503507,0.518830,0.493917,0.521505,0.521505,792569654
2022-08-11,0.521515,0.529282,0.513488,0.514729,0.514729,793787819
2022-08-12,0.514668,0.527590,0.507430,0.526919,0.526919,524516808
2022-08-13,0.526876,0.551902,0.524907,0.545491,0.545491,906393152
2022-08-14,0.545497,0.578704,0.543290,0.556236,0.556236,1151090723
2022-08-15,0.556278,0.567010,0.536775,0.542409,0.542409,862178823
2022-08-16,0.542245,0.562170,0.540840,0.548594,0.548594,721921470
2022-08-17,0.548600,0.570196,0.524230,0.527661,0.527661,1017398472
2022-08-18,0.527919,0.533374,0.506859,0.508106,0.508106,637199992
2022-08-19,0.508170,0.508170,0.447707,0.449363,0.449363,1289790235
2022-08-20,0.449257,0.461318,0.437252,0.449724,0.449724,789726052
2022-08-21,0.449603,0.470443,0.446829,0.461745,0.461745,613878144
2022-08-22,0.461735,0.461735,0.439820,0.464311,0.464311,726575491
2022-08-23,0.464349,0.470360,0.451415,0.466763,0.466763,564836599
2022-08-24,0.466738,0.467944,0.456884,0.459570,0.459570,496295183
2022-08-25,0.459570,0.474680,0.459502,0.466360,0.466360,526875474
2022-08-26,0.466320,0.483451,0.429704,0.432419,0.432419,1303873820
2022-08-27,0.432596,0.452378,0.429624,0.451283,0.451283,735674593
2022-08-28,0.451299,0.454993,0.432813,0.432813,0.432813,522679235
2022-08-29,0.432834,0.451699,0.430331,0.450219,0.450219,587315073
2022-08-30,0.450252,0.460658,0.438968,0.451104,0.451104,638544389
2022-08-31,0.451198,0.460980,0.444278,0.444973,0.444973,519577435
2022-09-01,0.444985,0.460845,0.441025,0.459698,0.459698,585685140
2022-09-02,0.459682,0.464560,0.452288,0.456705,0.456705,528295846
2022-09-03,0.456680,0.487107,0.456138,0.482655,0.482655,782268899
2022-09-04,0.482640,0.508217,0.479056,0.507757,0.507757,916402041
2022-09-05,0.507841,0.509304,0.487203,0.501581,0.501581,649661623
2022-09-06,0.501551,0.513525,0.467796,0.467871,0.467871,992202476
2022-09-07,0.467815,0.481822,0.460804,0.479466,0.479466,693413220
2022-09-08,0.479459,0.481468,0.467484,0.478801,0.478801,647129385
2022-09-09,0.478780,0.495525,0.478035,0.495507,0.495507,846266826
2022-09-10,0.495430,0.515719,0.489002,0.504775,0.504775,980807141
2022-09-11,0.504733,0.511352,0.495797,0.506182,0.506182,700365337
2022-09-12,0.506181,0.511948,0.491533,0.495141,0.495141,845867648
2022-09-13,0.495091,0.498964,0.464307,0.469902,0.469902,1006698236
2022-09-14,0.464922,0.486691,0.463997,0.482240,0.482240,738850136
2022-09-15,0.482237,0.483001,0.464161,0.466219,0.466219,686074566
2022-09-16,0.466279,0.473366,0.457150,0.473362,0.473362,557861444
2022-09-17,0.473457,0.486939,0.472337,0.486371,0.486371,510988980
2022-09-18,0.486306,0.488831,0.444178,0.446194,0.446194,676018967
2022-09-19,0.446291,0.454588,0.435512,0.452143,0.452143,774140461
2022-09-20,0.452182,0.451925,0.440047,0.443174,0.443174,546251686
2022-09-21,0.443226,0.463289,0.439645,0.448716,0.448716,1244733023
2022-09-22,0.448428,0.472961,0.443893,0.466481,0.466481,774972939
2022-09-23,0.466466,0.487711,0.463562,0.476497,0.476497,1057912702
2022-09-24,0.476506,0.482039,0.465732,0.466047,0.466047,600752934
2022-09-25,0.466046,0.476546,0.455232,0.460671,0.460671,546002649
2022-09-26,0.460786,0.464773,0.454526,0.464415,0.464415,655618624
2022-09-27,0.464479,0.479251,0.457183,0.460503,0.460503,711838774
2022-09-28,0.460391,0.461016,0.446366,0.450512,0.450512,637349738
2022-09-29,0.450530,0.445804,0.440281,0.445765,0.445765,542833323
2022-09-30,0.445779,0.449173,0.438900,0.443189,0.443189,573837134
2022-10-01,0.443204,0.445043,0.437559,0.438923,0.438923,324179410
2022-10-02,0.438913,0.440963,0.427712,0.428382,0.428382,413328147
2022-10-03,0.428393,0.435874,0.427198,0.435243,0.435243,462648548
2022-10-04,0.435248,0.437794,0.433355,0.436470,0.436470,443929721
2022-10-05,0.436482,0.436709,0.431304,0.435097,0.435097,446009317
2022-10-06,0.435089,0.440450,0.435793,0.437913,0.437913,438350802
2022-10-07,0.437919,0.439362,0.433845,0.435688,0.435688,423906043
2022-10-08,0.435620,0.438196,0.431105,0.432771,0.432771,303501541
2022-10-09,0.432828,0.435095,0.430964,0.434587,0.434587,287908086
2022-10-10,0.434568,0.437544,0.413729,0.413742,0.413742,537704859
2022-10-11,0.413674,0.413674,0.400140,0.402585,0.402585,667650804
2022-10-12,0.402629,0.406921,0.390105,0.392888,0.392888,484971384
2022-10-13,0.392912,0.393282,0.361021,0.386634,0.386634,1084466287
2022-10-14,0.386625,0.396916,0.372419,0.377360,0.377360,579236765
2022-10-15,0.377359,0.379949,0.372456,0.374164,0.374164,359556428
2022-10-16,0.374235,0.384606,0.374235,0.380169,0.380169,346171466
2022-10-17,0.380159,0.383413,0.376607,0.378252,0.378252,365956518
2022-10-18,0.378249,0.379647,0.364386,0.366859,0.366859,441776250
2022-10-19,0.366932,0.367288,0.357955,0.358427,0.358427,440825128
2022-10-20,0.358438,0.363369,0.345090,0.347939,0.347939,508419108
2022-10-21,0.347936,0.354519,0.340736,0.354012,0.354012,520836442
2022-10-22,0.354033,0.359091,0.348824,0.356476,0.356476,350841620
2022-10-23,0.356465,0.368611,0.351600,0.367147,0.367147,399697884
2022-10-24,0.367144,0.371120,0.359067,0.362052,0.362052,394465474
2022-10-25,0.362032,0.415582,0.362443,0.403473,0.403473,1220045172
2022-10-26,0.403156,0.407347,0.398181,0.399752,0.399752,754796332
2022-10-27,0.399771,0.411087,0.389690,0.389984,0.389984,721470351
2022-10-28,0.389959,0.412186,0.382101,0.405926,0.405926,620406103
2022-10-29,0.405927,0.437258,0.403672,0.421251,0.421251,858152639
2022-10-30,0.421337,0.422637,0.402233,0.407901,0.407901,580201061
2022-10-31,0.407884,0.417918,0.401964,0.411028,0.411028,576573463
2022-11-01,0.410980,0.417412,0.405636,0.406375,0.406375,458003944
2022-11-02,0.406358,0.410161,0.389054,0.393392,0.393392,755408808
2022-11-03,0.393376,0.406932,0.392491,0.399426,0.399426,456535936
2022-11-04,0.399402,0.426620,0.398498,0.422264,0.422264,911389216
2022-11-05,0.422264,0.436934,0.421513,0.427439,0.427439,702779925
2022-11-06,0.427453,0.430986,0.405910,0.405910,0.405910,499417462
2022-11-07,0.405870,0.414623,0.401790,0.403550,0.403550,553763258
2022-11-08,0.403525,0.410257,0.351161,0.368857,0.368857,1408799741
2022-11-09,0.368984,0.372721,0.311977,0.317218,0.317218,1443835213
2022-11-10,0.317274,0.370143,0.313788,0.362032,0.362032,1328229656
2022-11-11,0.362023,0.366303,0.332693,0.341963,0.341963,573805164
2022-11-12,0.342187,0.343089,0.326718,0.327312,0.327312,376104543
2022-11-13,0.327348,0.332836,0.316852,0.319679,0.319679,392798584
2022-11-14,0.319675,0.330067,0.306636,0.321562,0.321562,469634905
2022-11-15,0.321585,0.331450,0.320099,0.325376,0.325376,301298493
2022-11-16,0.325332,0.332030,0.312742,0.319804,0.319804,269391157
2022-11-17,0.319842,0.321551,0.309858,0.313541,0.313541,229986386
2022-11-18,0.313550,0.320105,0.311098,0.315356,0.315356,215833237
2022-11-19,0.315353,0.320611,0.312284,0.317541,0.317541,154708038
2022-11-20,0.317542,0.319689,0.301302,0.302305,0.302305,233886946
2022-11-21,0.302297,0.303067,0.290255,0.297249,0.297249,392613761
2022-11-22,0.297226,0.307841,0.291336,0.302515,0.302515,294798208
2022-11-23,0.302574,0.307184,0.300709,0.305544,0.305544,312919940
2022-11-24,0.305559,0.307781,0.300364,0.304060,0.304060,212813322
2022-11-25,0.304023,0.304262,0.296169,0.302482,0.302482,197217287
2022-11-26,0.302447,0.309086,0.299789,0.301301,0.301301,197894544
2022-11-27,0.301304,0.307592,0.301152,0.301385,0.301385,161950258
2022-11-28,0.301395,0.302196,0.291351,0.296514,0.296514,259820653
2022-11-29,0.296511,0.300853,0.294705,0.299664,0.299664,178459333
2022-11-30,0.299675,0.308092,0.299010,0.305936,0.305936,261520369
2022-12-01,0.305944,0.306397,0.298040,0.298726,0.298726,195229328
2022-12-02,0.298735,0.303491,0.296359,0.303139,0.303139,179946857
