Date,Open,High,Low,Close,Adj Close,Volume
2022-08-22,300.860504,302.643127,289.063965,302.425598,302.425598,1472793077
2022-08-23,302.437469,302.864532,296.856415,300.030182,300.030182,1038421832
2022-08-24,300.015320,300.880737,296.292877,297.395355,297.395355,938389701
2022-08-25,297.433105,305.617737,297.223999,302.466705,302.466705,976379726
2022-08-26,302.438965,302.438965,278.855530,280.608368,280.608368,1214449094
2022-08-27,280.581909,284.846985,275.508575,278.777191,278.777191,966050187
2022-08-28,278.779083,284.624420,278.026062,278.026062,278.026062,763158047
2022-08-29,278.056000,286.109100,273.211914,285.914001,285.914001,1008077685
2022-08-30,285.907898,290.886688,276.451050,280.762604,280.762604,977313736
2022-08-31,280.793671,288.567383,276.971222,278.180054,278.180054,948877904
2022-09-01,278.193237,279.457153,273.326141,279.766998,279.766998,959548712
2022-09-02,279.737579,282.477600,275.575684,278.726074,278.726074,810864653
2022-09-03,278.741150,279.747040,276.072937,279.087250,279.087250,492416516
2022-09-04,279.093597,281.134399,276.753906,281.431732,281.431732,516770062
2022-09-05,281.444489,282.712463,275.596161,278.049713,278.049713,668552915
2022-09-06,278.115967,286.638580,265.322540,265.394104,265.394104,1185835501
2022-09-07,265.337769,279.538361,262.915222,278.868347,278.868347,964104634
2022-09-08,278.867279,283.153503,276.413849,280.300537,280.300537,869618081
2022-09-09,280.260132,293.211853,279.845032,289.082306,289.082306,1122881261
2022-09-10,289.070435,293.987915,286.900940,292.537079,292.537079,838492015
2022-09-11,292.488495,293.429718,288.772064,293.094574,293.094574,695926376
2022-09-12,293.106689,295.214600,289.019196,289.908691,289.908691,985872092
2022-09-13,289.899353,292.666626,276.799103,278.181213,278.181213,1139431220
2022-09-14,278.017242,282.489136,275.221649,279.887085,279.887085,958129575
2022-09-15,279.884277,280.905365,268.076172,271.141602,271.141602,1081499422
2022-09-16,271.146973,277.107788,269.314697,274.212128,274.212128,802158072
2022-09-17,274.287415,279.081116,274.287415,278.799194,278.799194,560047410
2022-09-18,278.770630,279.170013,264.460114,265.722229,265.722229,787685344
2022-09-19,265.661102,271.820343,257.844208,271.253326,271.253326,1071001174
2022-09-20,271.313904,271.911987,266.406616,267.138092,267.138092,848142800
2022-09-21,267.163300,278.464447,265.562958,269.327698,269.327698,1075285667
2022-09-22,269.140228,280.379852,268.847656,280.011322,280.011322,857154318
2022-09-23,280.004456,281.992065,277.198090,285.417145,285.417145,897254037
2022-09-24,285.417999,293.677765,283.937531,283.937531,283.937531,844481734
2022-09-25,283.905487,288.133911,280.753235,282.957550,282.957550,661326292
2022-09-26,283.040710,285.351349,281.806152,286.833893,286.833893,745328158
2022-09-27,286.831940,296.041473,282.571960,283.875366,283.875366,966495453
2022-09-28,283.805450,290.921021,279.427277,290.300873,290.300873,883392849
2022-09-29,290.285889,294.423126,284.989258,288.708496,288.708496,814771474
2022-09-30,288.754547,295.208557,286.567047,289.932983,289.932983,923772300
2022-10-01,290.015717,290.953766,283.943420,288.544922,288.544922,605275797
2022-10-02,288.568512,293.191772,285.568939,290.363525,290.363525,567943229
2022-10-03,290.344940,294.516693,290.078278,291.890594,291.890594,712425166
2022-10-04,291.882629,298.404999,291.574158,296.777893,296.777893,795851663
